Date,SKU_ID,Product_Name,Demand,Units_Sold,Current_Stock,Unit_Cost,EOQ,Safety_Stock,Reorder_Point,Stockout_Risk
2024-01-01,SKU_001,Aashirvaad Atta 5kg,138,138,693,260,739,92,842,0
2024-01-02,SKU_001,Aashirvaad Atta 5kg,124,124,569,260,739,92,842,0
2024-01-03,SKU_001,Aashirvaad Atta 5kg,103,103,466,260,739,92,842,0
2024-01-04,SKU_001,Aashirvaad Atta 5kg,134,134,332,260,739,92,842,0
2024-01-05,SKU_001,Aashirvaad Atta 5kg,204,204,128,260,739,92,842,0
2024-01-06,SKU_001,Aashirvaad Atta 5kg,227,227,640,260,739,92,842,0
2024-01-07,SKU_001,Aashirvaad Atta 5kg,179,179,461,260,739,92,842,0
2024-01-08,SKU_001,Aashirvaad Atta 5kg,139,139,322,260,739,92,842,0
2024-01-09,SKU_001,Aashirvaad Atta 5kg,117,117,205,260,739,92,842,0
2024-01-10,SKU_001,Aashirvaad Atta 5kg,117,117,88,260,739,92,842,0
2024-01-11,SKU_001,Aashirvaad Atta 5kg,132,132,695,260,739,92,842,0
2024-01-12,SKU_001,Aashirvaad Atta 5kg,132,132,563,260,739,92,842,0
2024-01-13,SKU_001,Aashirvaad Atta 5kg,221,221,342,260,739,92,842,0
2024-01-14,SKU_001,Aashirvaad Atta 5kg,145,145,197,260,739,92,842,0
2024-01-15,SKU_001,Aashirvaad Atta 5kg,118,118,79,260,739,92,842,0
2024-01-16,SKU_001,Aashirvaad Atta 5kg,111,111,707,260,739,92,842,0
2024-01-17,SKU_001,Aashirvaad Atta 5kg,158,158,549,260,739,92,842,0
2024-01-18,SKU_001,Aashirvaad Atta 5kg,122,122,427,260,739,92,842,0
2024-01-19,SKU_001,Aashirvaad Atta 5kg,197,197,230,260,739,92,842,0
2024-01-20,SKU_001,Aashirvaad Atta 5kg,148,148,82,260,739,92,842,0
2024-01-21,SKU_001,Aashirvaad Atta 5kg,177,177,644,260,739,92,842,0
2024-01-22,SKU_001,Aashirvaad Atta 5kg,129,129,515,260,739,92,842,0
2024-01-23,SKU_001,Aashirvaad Atta 5kg,114,114,401,260,739,92,842,0
2024-01-24,SKU_001,Aashirvaad Atta 5kg,147,147,254,260,739,92,842,0
2024-01-25,SKU_001,Aashirvaad Atta 5kg,133,133,121,260,739,92,842,0
2024-01-26,SKU_001,Aashirvaad Atta 5kg,174,174,686,260,739,92,842,0
2024-01-27,SKU_001,Aashirvaad Atta 5kg,194,194,492,260,739,92,842,0
2024-01-28,SKU_001,Aashirvaad Atta 5kg,160,160,332,260,739,92,842,0
2024-01-29,SKU_001,Aashirvaad Atta 5kg,144,144,188,260,739,92,842,0
2024-01-30,SKU_001,Aashirvaad Atta 5kg,101,101,87,260,739,92,842,0
2024-01-31,SKU_001,Aashirvaad Atta 5kg,131,131,695,260,739,92,842,0
2024-02-01,SKU_001,Aashirvaad Atta 5kg,85,85,610,260,739,92,842,0
2024-02-02,SKU_001,Aashirvaad Atta 5kg,202,202,408,260,739,92,842,0
2024-02-03,SKU_001,Aashirvaad Atta 5kg,223,223,185,260,739,92,842,0
2024-02-04,SKU_001,Aashirvaad Atta 5kg,162,162,23,260,739,92,842,0
2024-02-05,SKU_001,Aashirvaad Atta 5kg,93,93,669,260,739,92,842,0
2024-02-06,SKU_001,Aashirvaad Atta 5kg,117,117,552,260,739,92,842,0
2024-02-07,SKU_001,Aashirvaad Atta 5kg,149,149,403,260,739,92,842,0
2024-02-08,SKU_001,Aashirvaad Atta 5kg,134,134,269,260,739,92,842,0
2024-02-09,SKU_001,Aashirvaad Atta 5kg,137,137,132,260,739,92,842,0
2024-02-10,SKU_001,Aashirvaad Atta 5kg,205,205,666,260,739,92,842,0
2024-02-11,SKU_001,Aashirvaad Atta 5kg,182,182,484,260,739,92,842,0
2024-02-12,SKU_001,Aashirvaad Atta 5kg,139,139,345,260,739,92,842,0
2024-02-13,SKU_001,Aashirvaad Atta 5kg,146,146,199,260,739,92,842,0
2024-02-14,SKU_001,Aashirvaad Atta 5kg,146,146,53,260,739,92,842,0
2024-02-15,SKU_001,Aashirvaad Atta 5kg,143,143,649,260,739,92,842,0
2024-02-16,SKU_001,Aashirvaad Atta 5kg,167,167,482,260,739,92,842,0
2024-02-17,SKU_001,Aashirvaad Atta 5kg,184,184,298,260,739,92,842,0
2024-02-18,SKU_001,Aashirvaad Atta 5kg,205,205,93,260,739,92,842,0
2024-02-19,SKU_001,Aashirvaad Atta 5kg,148,93,0,260,739,92,842,1
2024-02-20,SKU_001,Aashirvaad Atta 5kg,117,117,622,260,739,92,842,0
2024-02-21,SKU_001,Aashirvaad Atta 5kg,123,123,499,260,739,92,842,0
2024-02-22,SKU_001,Aashirvaad Atta 5kg,152,152,347,260,739,92,842,0
